n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
1,0.00551,0.00500,0.00550,0.04750,0.04701,0.04800
1001,-,0.00600,0.00601,0.04900,0.04950,0.05052
2001,-,0.00550,0.00500,0.05050,0.04851,0.04900
3001,-,0.00600,0.00500,0.04901,0.04950,0.04851
4001,-,0.00600,0.00500,0.04900,0.05001,0.04950
5001,-,0.00550,0.00551,0.05000,0.05101,0.05050
6001,-,0.00550,0.00500,0.04951,0.05050,0.04901
7001,-,0.00600,0.00550,0.05050,0.05251,0.05050
8001,-,0.00550,0.00501,0.05101,0.05050,0.05351
9001,-,0.00550,0.00500,0.05251,0.05200,0.05151
10001,-,0.00600,0.00550,0.05400,0.05601,0.05350
11001,-,0.00550,0.00550,0.05451,0.05551,0.05550
12001,-,0.00550,0.00550,0.06352,0.05602,0.05651
13001,-,0.00550,0.00500,0.05751,0.05750,0.05501
14001,-,0.00550,0.00550,0.06001,0.05750,0.06001
15001,-,0.00550,0.00550,0.05700,0.05751,0.05901
16001,-,0.00550,0.00550,0.05850,0.06052,0.05950
17001,-,0.00550,0.00651,0.06150,0.06202,0.06000
18001,-,0.00550,0.00550,0.06151,0.06251,0.06251
19001,-,0.00550,0.00500,0.06301,0.06901,0.06300
20001,-,0.00550,0.00551,0.06350,0.06301,0.06650
21001,-,0.00651,0.00550,0.06650,0.06702,0.06601
22001,-,0.00550,0.00550,0.06900,0.06851,0.06751
23001,-,0.00550,0.00550,0.06651,0.06850,0.06901
24001,-,0.00550,0.00552,0.06899,0.07300,0.07151
25001,-,0.00550,0.00600,0.07051,0.07301,0.07100
26001,-,0.00600,0.00450,0.07351,0.07401,0.07351
27001,-,0.00600,0.00500,0.07451,0.07550,0.07402
28001,-,0.00550,0.00550,0.07601,0.07551,0.07800
29001,-,0.00651,0.00550,0.07751,0.07750,0.08251
30001,-,0.00700,0.00550,0.08201,0.07951,0.07951
31001,-,0.00651,0.00550,0.08250,0.08051,0.08151
32001,-,0.00600,0.00550,0.08401,0.08501,0.08451
33001,-,0.00550,0.00550,0.08501,0.08801,0.08601
34001,-,0.00600,0.00601,0.08600,0.08851,0.09401
35001,-,0.00550,0.00600,0.08801,0.09101,0.08901
36001,-,0.00550,0.00550,0.09701,0.09101,0.09351
37001,-,0.00550,0.00550,0.09251,0.09301,0.09501
38001,-,0.00600,0.00550,0.09601,0.09951,0.09601
39001,-,0.00550,0.00550,0.09651,0.09901,0.10551
40001,-,0.00550,0.00550,0.10001,0.10101,0.10401
41001,-,0.00550,0.00600,0.10151,0.11252,0.10551
42001,-,0.00701,0.00550,0.10251,0.10351,0.10801
43001,-,0.00650,0.00600,0.10801,0.10701,0.11051
44001,-,0.00600,0.00600,0.11101,0.10852,0.11102
45001,-,0.00650,0.00600,0.11353,0.11201,0.11251
46001,-,0.00650,0.00550,0.11351,0.11651,0.11452
47001,-,0.00650,0.00600,0.11801,0.11751,0.11801
48001,-,0.00550,0.00550,0.12052,0.12251,0.12301
49001,-,0.00600,0.00550,0.12202,0.12203,0.12599
50001,-,0.00600,0.00550,0.12551,0.12754,0.12601
51001,-,0.00600,0.00550,0.12901,0.12901,0.12803
52001,-,0.00699,0.00600,0.13051,0.13152,0.13502
53001,-,0.00650,0.00600,0.13253,0.13352,0.13451
54001,-,0.00652,0.00648,0.13701,0.13652,0.13551
55001,-,0.00600,0.00600,0.14202,0.13801,0.14109
56001,-,0.00550,0.00600,0.14051,0.14352,0.14352
57001,-,0.00701,0.00598,0.14552,0.14551,0.14451
58001,-,0.00650,0.00651,0.14901,0.15153,0.14901
59001,-,0.00600,0.00600,0.15153,0.15301,0.15553
60001,-,0.00600,0.00600,0.15652,0.15402,0.16352
61001,-,0.00650,0.00551,0.15701,0.16102,0.15651
62001,-,0.00701,0.00550,0.16001,0.16152,0.17002
63001,-,0.00652,0.00550,0.16301,0.16802,0.16352
64001,-,0.00600,0.00600,0.17651,0.17002,0.17252
65001,-,0.00600,0.00650,0.17102,0.16751,0.17552
66001,-,0.00700,0.00650,0.17853,0.17552,0.17502
67001,-,0.00650,0.00550,0.17651,0.17952,0.18103
68001,-,0.00600,0.00550,0.18052,0.18152,0.18152
69001,-,0.00602,0.00648,0.18602,0.18601,0.18752
70001,-,0.00650,0.00600,0.18702,0.18902,0.19152
71001,-,0.00700,0.00550,0.19302,0.19304,0.19702
72001,-,0.00600,0.00600,0.19902,0.19952,0.19952
73001,-,0.00652,0.00551,0.20254,0.20051,0.20502
74001,-,0.00600,0.00651,0.20502,0.20452,0.20602
