n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
1,0.00600,0.00550,0.00600,0.05003,0.05200,0.05201
2,0.00601,0.00549,0.00600,0.05300,0.05151,0.04900
3,0.00551,0.00550,0.00550,0.04950,0.04901,0.04850
4,0.00600,0.00500,0.00500,0.04851,0.04950,0.04851
5,0.00550,0.00550,0.00550,0.04950,0.04901,0.04951
6,0.00600,0.00502,0.00599,0.04800,0.04851,0.05051
7,0.00550,0.00600,0.00550,0.04901,0.04900,0.04951
8,0.00550,0.00600,0.00550,0.04850,0.04951,0.04850
9,0.00601,0.00551,0.00500,0.04901,0.04950,0.04951
10,0.00550,0.00550,0.00550,0.04901,0.04900,0.04901
11,0.00650,0.00550,0.00500,0.04850,0.04901,0.04800
12,0.00550,0.00600,0.00651,0.04851,0.04900,0.04951
13,0.00550,0.00550,0.00500,0.05102,0.04850,0.04900
14,0.00601,0.00500,0.00550,0.04850,0.04851,0.05100
15,0.00551,0.00548,0.00500,0.04851,0.04950,0.05001
16,0.00550,0.00550,0.00550,0.04850,0.04901,0.04900
17,0.00550,0.00501,0.00600,0.04800,0.04903,0.04850
18,0.00550,0.00550,0.00550,0.04951,0.04950,0.04801
19,0.00600,0.00550,0.00500,0.05050,0.04901,0.04950
20,0.00601,0.00550,0.00550,0.04900,0.04850,0.04851
21,0.00600,0.00550,0.00550,0.04851,0.04900,0.04951
22,0.00650,0.00502,0.00548,0.04800,0.04851,0.04850
23,0.00550,0.00550,0.00551,0.04901,0.04901,0.04901
24,0.00600,0.00550,0.00550,0.04901,0.04850,0.04850
25,0.00651,0.00550,0.00550,0.04950,0.05051,0.04800
26,0.00700,0.00550,0.00500,0.04901,0.04950,0.04951
27,0.00700,0.00600,0.00500,0.04900,0.04801,0.04900
28,0.00851,0.00550,0.00500,0.04900,0.04851,0.04850
29,0.00950,0.00550,0.00500,0.04851,0.04850,0.04902
30,0.01250,0.00550,0.00550,0.04950,0.05051,0.04865
31,0.01651,0.00550,0.00550,0.04850,0.05002,0.05150
32,0.02351,0.00601,0.00652,0.05098,0.05202,0.04950
33,0.03400,0.00601,0.00550,0.04900,0.04901,0.05000
34,0.05151,0.00550,0.00550,0.04900,0.04851,0.04900
35,0.07901,0.00650,0.00550,0.04903,0.04900,0.04901
36,0.12702,0.00600,0.00550,0.04985,0.04901,0.04950
37,0.19852,0.00550,0.00601,0.05350,0.05301,0.04900
38,0.32104,0.00600,0.00551,0.04951,0.04950,0.05051
39,0.51556,0.00500,0.00550,0.05001,0.04950,0.04851
40,0.84120,0.00547,0.00550,0.05001,0.05053,0.04848
41,1.34513,0.00550,0.00550,0.05201,0.05100,0.05151
42,2.18781,0.00600,0.00600,0.04900,0.04851,0.05000
43,3.52644,0.00601,0.00550,0.04950,0.04851,0.04953
44,5.72851,0.00600,0.00550,0.04901,0.04950,0.05008
45,9.24661,0.00599,0.00551,0.04900,0.04951,0.04850
46,14.88023,0.00700,0.00550,0.04850,0.04951,0.04900
47,24.36092,0.00700,0.00550,0.04951,0.04900,0.04901
48,39.37383,0.00600,0.00550,0.05152,0.05000,0.05051
49,-,0.00600,0.00550,0.04951,0.04950,0.05026
50,-,0.00550,0.00550,0.04900,0.04901,0.04800
51,-,0.00550,0.00600,0.04851,0.04850,0.05001
52,-,0.00550,0.00550,0.04800,0.05001,0.05001
53,-,0.00550,0.00601,0.04951,0.04850,0.04901
54,-,0.00550,0.00550,0.04901,0.04900,0.04851
55,-,0.00600,0.00550,0.04850,0.04951,0.04900
56,-,0.00550,0.00550,0.04801,0.04900,0.04901
57,-,0.00550,0.00550,0.04900,0.04951,0.04850
58,-,0.00550,0.00551,0.04851,0.04850,0.04951
59,-,0.00600,0.00500,0.04950,0.04851,0.04897
60,-,0.00550,0.00551,0.04850,0.04900,0.04900
61,-,0.00550,0.00550,0.04902,0.04850,0.04851
62,-,0.00550,0.00550,0.04850,0.04851,0.04850
63,-,0.00550,0.00550,0.04801,0.04850,0.04851
64,-,0.00600,0.00550,0.04850,0.04901,0.04850
65,-,0.00550,0.00550,0.04851,0.04950,0.04901
66,-,0.00550,0.00550,0.04851,0.04901,0.04900
67,-,0.00550,0.00601,0.04850,0.04850,0.04851
68,-,0.00550,0.00500,0.04831,0.04900,0.04801
69,-,0.00550,0.00550,0.04850,0.04851,0.04861
70,-,0.00550,0.00550,0.04801,0.04850,0.04951
71,-,0.00600,0.00550,0.04950,0.04901,0.04902
72,-,0.00550,0.00551,0.05001,0.04850,0.04851
73,-,0.00550,0.00550,0.04941,0.04851,0.04851
74,-,0.00550,0.00551,0.04800,0.04900,0.04801
75,-,0.00550,0.00550,0.04806,0.04850,0.04901
76,-,0.00550,0.00500,0.04800,0.04851,0.04850
77,-,0.00600,0.00550,0.04851,0.04900,0.04852
78,-,0.00600,0.00500,0.04850,0.05351,0.05050
79,-,0.00600,0.00550,0.05150,0.05100,0.04852
80,-,0.00550,0.00500,0.04801,0.04850,0.04800
81,-,0.00701,0.00550,0.04800,0.04951,0.04850
82,-,0.00550,0.00550,0.04851,0.04900,0.04901
83,-,0.00600,0.00500,0.04800,0.04851,0.04800
84,-,0.00550,0.00600,0.04851,0.04850,0.04901
85,-,0.00550,0.00701,0.04899,0.04901,0.04900
86,-,0.00550,0.00551,0.04851,0.04851,0.04851
87,-,0.00550,0.00550,0.04801,0.04850,0.04851
