dataset,model,train_accuracy,test_accuracy,training_time
Half-circles (1000),SVM-linear,0.0,0.0,0.006342840194702148
Half-circles (1000),SVM-poly,0.0,0.0,0.006475687026977539
Half-circles (1000),SVM-rbf,0.0,0.0,0.02211766242980957
Half-circles (1000),SVM-sigmoid,0.0,0.0,0.02819933891296387
Half-circles (1000),MLP,0.7537499999999999,0.725,0.17719688415527343
Moons (1000),SVM-linear,0.0,0.0,0.007059240341186523
Moons (1000),SVM-poly,0.0,0.0,0.00629734992980957
Moons (1000),SVM-rbf,0.0,0.0,0.022284984588623047
Moons (1000),SVM-sigmoid,0.0,0.0,0.03206911087036133
Moons (1000),MLP,0.8877500000000002,0.8869999999999999,0.1750499725341797
Half-circles (10000),SVM-linear,0.0,0.0,0.2056865692138672
Half-circles (10000),SVM-poly,0.0,0.0,0.27544689178466797
Half-circles (10000),SVM-rbf,0.0,0.0,1.6591166019439698
Half-circles (10000),SVM-sigmoid,0.0,0.0,2.2312710285186768
Half-circles (10000),MLP,0.698425,0.6944000000000001,1.2429801940917968
Moons (10000),SVM-linear,0.0,0.0,0.20525064468383789
Moons (10000),SVM-poly,0.0,0.0,0.27501740455627444
Moons (10000),SVM-rbf,0.0,0.0,1.666820240020752
Moons (10000),SVM-sigmoid,0.0,0.0,2.2255404949188233
Moons (10000),MLP,0.9995750000000001,0.9995,1.2001795291900634
